transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000066638,0,0,0,0,0
ENSDART00000165543,0,0,0,0,0
MSTRG.201.4,0,0,0,0,40
ENSDART00000159981,360,255,205,314,230
ENSDART00000170032,3,0,1,4,3
MSTRG.202.2,0,0,0,0,29
ENSDART00000103399,249,213,182,160,134
MSTRG.203.1,109,88,66,56,48
MSTRG.204.1,76,65,54,39,32
MSTRG.205.2,0,0,15,66,0
ENSDART00000132752,0,0,1,0,0
MSTRG.205.7,0,0,35,0,0
MSTRG.205.1,102,32,1,80,174
ENSDART00000080100,39,271,217,340,106
MSTRG.205.4,368,0,36,3,127
ENSDART00000145929,2,0,0,4,3
ENSDART00000103403,0,0,94,0,0
ENSDART00000137697,136,114,0,118,108
ENSDART00000103406,47,30,32,36,30
ENSDART00000143628,18,12,6,21,6
ENSDART00000140116,0,0,0,0,3
MSTRG.208.1,30,0,18,5,0
ENSDART00000055566,38,36,19,31,45
ENSDART00000164817,0,0,0,0,0
ENSDART00000079930,91,55,45,53,60
ENSDART00000015251,876,574,504,493,486
ENSDART00000126020,205,195,202,65,59
ENSDART00000162146,0,0,12,0,14
ENSDART00000166429,51,35,35,37,22
MSTRG.212.1,0,0,36,0,0
ENSDART00000146842,0,0,0,0,0
ENSDART00000142081,0,0,0,0,0
ENSDART00000136188,0,0,0,0,0
ENSDART00000141894,0,0,0,0,0
ENSDART00000132560,8,0,0,0,0
ENSDART00000090380,62,37,0,25,25
ENSDART00000040307,0,0,6,0,0
ENSDART00000143839,0,0,0,0,0
MSTRG.213.2,0,2,6,0,0
ENSDART00000111485,58,42,40,64,50
ENSDART00000139336,0,36,6,0,0
ENSDART00000137463,6,26,16,21,0
ENSDART00000142122,2,10,79,18,77
MSTRG.214.4,291,0,0,86,0
ENSDART00000003825,499,465,391,547,546
ENSDART00000158595,173,0,0,0,106
MSTRG.215.2,124,0,205,212,78
ENSDART00000165733,2,18,0,0,2
